,Date,CO,Ozone,NO2,SO2,PM-2.5,PM-10,Air,target
0,2022-10-01,0.34285714285714286,4.0,0.05685714285714286,61.857142857142854,0.023285714285714288,22.0,0.0012857142857142859,150
1,2022-10-08,0.39999999999999997,4.857142857142857,0.05499999999999999,60.0,0.024571428571428567,23.0,0.001142857142857143,156
2,2022-10-15,0.24285714285714285,2.4285714285714284,0.05271428571428572,55.142857142857146,0.021714285714285714,20.571428571428573,0.0014285714285714286,171
3,2022-10-22,0.24285714285714288,2.857142857142857,0.047,48.142857142857146,0.02028571428571429,19.142857142857142,0.0017142857142857144,215
4,2022-10-29,0.21428571428571427,2.2857142857142856,0.04028571428571429,37.285714285714285,0.014571428571428572,14.0,0.0012857142857142859,290
5,2022-11-05,0.17142857142857146,2.0,0.042,40.285714285714285,0.013285714285714288,12.714285714285714,0.002,273
6,2022-11-12,0.17142857142857143,1.7142857142857142,0.03442857142857143,31.571428571428573,0.014285714285714289,13.714285714285714,0.0007142857142857143,336
7,2022-11-19,0.17142857142857146,1.7142857142857142,0.03328571428571429,30.714285714285715,0.016714285714285713,15.857142857142858,0.0007142857142857143,558
8,2022-11-26,0.4571428571428572,5.142857142857143,0.032857142857142856,30.428571428571427,0.022285714285714287,20.857142857142858,0.001142857142857143,1023
9,2022-12-03,0.2571428571428572,2.857142857142857,0.030571428571428572,28.142857142857142,0.015142857142857144,14.285714285714286,0.001571428571428572,972
10,2022-12-10,0.3285714285714286,3.5714285714285716,0.015714285714285715,14.428571428571429,0.012142857142857141,11.428571428571429,0.001,980
11,2022-12-17,0.21428571428571427,2.2857142857142856,0.028285714285714286,26.142857142857142,0.013857142857142858,13.0,0.002857142857142857,843
12,2022-12-24,0.2513932980599645,2.7386243386243385,0.03365123995808588,33.217254628012576,0.015308564451421581,14.483865341008197,0.0038571428571428576,768
13,2022-12-31,0.3342328042328039,3.750793650793651,0.039508382815228726,38.78868319944115,0.017962846677132376,17.154369440083723,0.0038571428571428576,744
14,2023-01-07,0.5857142857142857,6.571428571428571,0.029714285714285717,27.571428571428573,0.02042857142857143,19.142857142857142,0.0014285714285714288,522
15,2023-01-14,0.5571428571428572,6.571428571428571,0.030428571428571426,28.142857142857142,0.025714285714285714,24.285714285714285,0.002142857142857143,381
16,2023-01-21,0.4,4.714285714285714,0.03157142857142857,29.142857142857142,0.017142857142857144,16.142857142857142,0.0020000000000000005,318
17,2023-01-28,0.3285714285714286,3.857142857142857,0.03085714285714286,28.571428571428573,0.021714285714285714,20.714285714285715,0.0025714285714285713,264
18,2023-02-04,0.24285714285714285,2.7142857142857144,0.02585714285714286,23.857142857142858,0.010571428571428574,10.142857142857142,0.0005714285714285715,237
19,2023-02-11,0.35714285714285715,4.0,0.03442857142857143,31.571428571428573,0.02142857142857143,20.142857142857142,0.001,188
20,2023-02-18,0.28571428571428575,3.142857142857143,0.03985714285714286,36.857142857142854,0.02042857142857143,19.285714285714285,0.0017142857142857148,189
21,2023-02-25,0.2571428571428572,2.857142857142857,0.034,31.428571428571427,0.016714285714285716,15.857142857142858,0.001142857142857143,171
22,2023-03-04,0.31428571428571433,3.5714285714285716,0.03799999999999999,35.285714285714285,0.016285714285714285,15.428571428571429,0.001571428571428572,153
23,2023-03-11,0.21428571428571427,2.2857142857142856,0.03557142857142857,35.0,0.01,9.571428571428571,0.0004285714285714286,169
24,2023-03-18,0.21428571428571427,2.2857142857142856,0.04499999999999999,41.57142857142857,0.015285714285714286,14.285714285714286,0.0012857142857142859,187
25,2023-03-25,0.1142857142857143,1.1428571428571428,0.03914285714285714,36.142857142857146,0.008142857142857143,7.714285714285714,0.001571428571428572,150
26,2023-04-01,0.24285714285714288,2.7142857142857144,0.053142857142857144,55.714285714285715,0.016571428571428574,15.571428571428571,0.0017142857142857144,93
27,2023-04-08,0.2571428571428571,2.857142857142857,0.05085714285714286,47.285714285714285,0.014571428571428572,13.714285714285714,0.0004285714285714286,108
28,2023-04-15,0.2571428571428572,2.7142857142857144,0.05042857142857143,47.57142857142857,0.014285714285714287,13.428571428571429,0.0005714285714285715,104
29,2023-04-22,0.21428571428571427,2.2857142857142856,0.05457142857142856,54.142857142857146,0.015285714285714286,14.428571428571429,0.002428571428571429,78
30,2023-04-29,0.17142857142857143,1.7142857142857142,0.04414285714285714,40.857142857142854,0.010571428571428574,9.857142857142858,0.0005714285714285715,66
31,2023-05-06,0.24285714285714285,2.5714285714285716,0.05014285714285714,50.0,0.014714285714285716,13.857142857142858,0.001142857142857143,66
32,2023-05-13,0.19999999999999998,2.0,0.04985714285714284,48.285714285714285,0.010571428571428574,10.0,0.0008571428571428572,40
33,2023-05-20,0.24285714285714288,2.4285714285714284,0.03985714285714286,38.57142857142857,0.010142857142857144,9.571428571428571,0.0008571428571428572,43
34,2023-05-27,0.34285714285714286,3.857142857142857,0.06314285714285715,81.0,0.012714285714285714,11.714285714285714,0.001,30
35,2023-06-03,0.29425044091710734,3.0243386243386245,0.061857142857142854,73.57142857142857,0.009285714285714286,8.571428571428571,3.814714285714286,24
36,2023-06-10,0.3,3.2857142857142856,0.07671428571428572,122.57142857142857,0.014571428571428572,13.571428571428571,0.0017142857142857148,21
37,2023-06-17,0.22857142857142856,2.2857142857142856,0.06842857142857144,95.14285714285714,0.011857142857142856,11.0,0.0008571428571428572,22
38,2023-06-24,0.5428571428571429,6.285714285714286,0.05828571428571428,65.71428571428571,0.014857142857142859,13.857142857142858,0.001,35
39,2023-07-01,0.17142857142857146,1.7142857142857142,0.05714285714285714,62.142857142857146,0.01257142857142857,11.714285714285714,0.0017142857142857144,32
40,2023-07-08,0.18571428571428572,1.8571428571428572,0.04885714285714286,46.42857142857143,0.012999999999999998,12.0,0.001,35
41,2023-07-15,0.1857142857142857,2.0,0.05257142857142856,52.142857142857146,0.011,10.428571428571429,0.001,16
42,2023-07-22,0.2571428571428571,2.857142857142857,0.05485714285714286,57.142857142857146,0.012285714285714287,11.428571428571429,0.0012857142857142859,38
43,2023-07-29,0.21428571428571427,2.2857142857142856,0.059,64.42857142857143,0.011857142857142858,10.857142857142858,0.0018571428571428573,54
44,2023-08-05,0.2571428571428572,2.7142857142857144,0.05814285714285714,66.28571428571429,0.013571428571428571,12.571428571428571,0.0020000000000000005,82
45,2023-08-12,0.2714285714285714,2.857142857142857,0.059571428571428574,70.0,0.011285714285714286,10.285714285714286,0.001,93
46,2023-08-19,0.31428571428571433,3.5714285714285716,0.055,64.42857142857143,0.014714285714285713,13.714285714285714,0.0012857142857142859,124
47,2023-08-26,0.4285714285714285,5.0,0.07114285714285715,101.71428571428571,0.01685714285714286,15.857142857142858,0.001,149
48,2023-09-02,0.4,4.714285714285714,0.05957142857142857,67.28571428571429,0.014285714285714287,13.285714285714286,0.0012857142857142859,158
49,2023-09-09,0.4142857142857142,4.857142857142857,0.06614285714285714,87.28571428571429,0.012142857142857144,11.428571428571429,0.0020000000000000005,124
50,2023-09-16,0.32857142857142857,3.7142857142857144,0.053142857142857144,55.42857142857143,0.016428571428571428,15.428571428571429,0.0017142857142857144,151
51,2023-09-23,0.2571428571428572,3.0,0.053142857142857144,53.142857142857146,0.01342857142857143,12.714285714285714,0.0014285714285714288,121
52,2023-09-30,0.34285714285714286,3.857142857142857,0.056,60.285714285714285,0.01742857142857143,16.428571428571427,0.0012857142857142859,96
53,2023-10-07,0.3285714285714286,3.7142857142857144,0.04557142857142856,43.0,0.016428571428571428,15.428571428571429,0.001,102
54,2023-10-14,0.22857142857142862,2.5714285714285716,0.04,36.857142857142854,0.01257142857142857,11.857142857142858,0.001,103
55,2023-10-21,0.3,3.2857142857142856,0.04485714285714286,42.142857142857146,0.018142857142857145,17.142857142857142,0.0005714285714285715,164
56,2023-10-28,0.2571428571428571,2.7142857142857144,0.03142857142857143,29.0,0.009142857142857144,8.571428571428571,0.00028571428571428574,177
57,2023-11-04,0.31428571428571433,3.5714285714285716,0.03928571428571428,36.42857142857143,0.02171428571428571,20.571428571428573,0.0005714285714285715,206
58,2023-11-11,0.2857142857142857,3.142857142857143,0.04242857142857143,39.57142857142857,0.015000000000000001,14.142857142857142,0.0008571428571428572,277
59,2023-11-18,0.6,7.0,0.041428571428571426,38.285714285714285,0.027,25.285714285714285,0.001,359
60,2023-11-25,0.5142857142857143,5.714285714285714,0.033857142857142856,31.285714285714285,0.013428571428571429,12.714285714285714,0.0008571428571428572,403
61,2023-12-02,0.31428571428571433,3.4285714285714284,0.03228571428571429,30.0,0.01685714285714286,15.857142857142858,0.001,401
62,2023-12-09,0.31428571428571433,3.5714285714285716,0.037,34.142857142857146,0.01442857142857143,13.571428571428571,0.002285714285714286,430
63,2023-12-16,0.5571428571428572,6.285714285714286,0.03157142857142857,29.142857142857142,0.023714285714285712,22.428571428571427,0.0014285714285714288,487
64,2023-12-23,0.3,3.4285714285714284,0.031857142857142855,29.571428571428573,0.014,13.142857142857142,0.0005714285714285715,534
65,2023-12-30,0.2285714285714286,2.4285714285714284,0.032,29.571428571428573,0.011285714285714288,10.857142857142858,0.00028571428571428574,690
66,2024-01-06,0.48571428571428577,5.571428571428571,0.02657142857142857,24.571428571428573,0.016571428571428574,15.571428571428571,0.0005714285714285715,588
67,2024-01-13,0.2285714285714286,2.4285714285714284,0.03257142857142857,30.285714285714285,0.012857142857142859,12.285714285714286,0.0007142857142857143,518
68,2024-01-20,0.31428571428571433,3.5714285714285716,0.03557142857142857,32.857142857142854,0.017857142857142856,16.857142857142858,0.0008571428571428572,537
69,2024-01-27,0.21428571428571425,2.142857142857143,0.018857142857142854,17.428571428571427,0.008285714285714287,8.0,0.0,580
70,2024-02-03,0.5000000000000001,5.714285714285714,0.037714285714285714,34.57142857142857,0.018285714285714287,17.428571428571427,0.001,678
71,2024-02-10,0.2428571428571429,2.7142857142857144,0.036857142857142866,34.285714285714285,0.01542857142857143,14.714285714285714,0.0007142857142857143,679
72,2024-02-17,0.18571428571428572,1.8571428571428572,0.03785714285714286,35.142857142857146,0.012857142857142859,12.0,0.0005714285714285715,549
73,2024-02-24,0.3428571428571429,4.0,0.04771428571428571,44.142857142857146,0.020999999999999998,19.714285714285715,0.001,505
